IFR;PERC_D;PERC_K;MFI;UO;SUPRES;FUT
66,45 ;91,01 ;78,84 ;69,59 ;58,29 ;84,45 ;3
55,09 ;87,10 ;56,62 ;62,36 ;52,57 ;71,72 ;1
50,83 ;80,01 ;28,80 ;55,23 ;45,39 ;66,01 ;1
50,88 ;71,68 ;16,83 ;60,25 ;49,15 ;66,07 ;1
60,27 ;64,46 ;28,59 ;59,08 ;50,79 ;81,15 ;3
57,27 ;59,13 ;43,52 ;50,21 ;49,32 ;77,31 ;1
58,08 ;54,43 ;52,98 ;50,97 ;48,94 ;78,70 ;1
58,80 ;49,94 ;52,03 ;43,35 ;55,47 ;79,89 ;1
67,68 ;47,26 ;67,13 ;48,61 ;66,09 ;97,35 ;1
72,86 ;47,58 ;81,69 ;51,98 ;72,14 ;97,76 ;3
70,22 ;51,58 ;92,70 ;51,56 ;69,71 ;93,38 ;3
68,63 ;58,33 ;89,51 ;43,68 ;68,59 ;91,69 ;1
65,92 ;65,64 ;82,66 ;43,84 ;68,02 ;88,85 ;1
63,81 ;71,00 ;76,82 ;40,78 ;66,46 ;86,65 ;1
68,51 ;74,58 ;75,75 ;48,92 ;64,57 ;91,15 ;1
73,33 ;77,82 ;82,09 ;55,96 ;64,45 ;97,11 ;3
69,29 ;81,57 ;85,81 ;55,80 ;60,99 ;93,21 ;3
63,80 ;82,92 ;79,24 ;53,85 ;61,16 ;87,54 ;2
59,33 ;80,87 ;63,30 ;46,87 ;57,22 ;82,53 ;2
56,73 ;75,97 ;48,52 ;47,67 ;55,79 ;79,07 ;2
59,74 ;71,04 ;45,22 ;52,74 ;54,58 ;83,98 ;3
57,26 ;66,77 ;44,18 ;52,00 ;50,61 ;81,13 ;2
53,76 ;62,17 ;35,44 ;42,44 ;43,12 ;77,00 ;2
53,76 ;56,33 ;23,20 ;30,93 ;40,65 ;76,74 ;2
54,37 ;48,96 ;15,77 ;26,82 ;41,22 ;77,04 ;2
50,34 ;41,11 ;15,10 ;26,18 ;39,14 ;72,50 ;2
51,26 ;34,05 ;15,68 ;32,94 ;40,96 ;73,57 ;2
53,12 ;29,17 ;19,38 ;40,81 ;39,80 ;75,70 ;1
56,01 ;27,59 ;34,34 ;42,44 ;46,16 ;79,12 ;1
52,27 ;26,88 ;38,87 ;34,08 ;44,30 ;74,78 ;1
59,45 ;28,37 ;57,52 ;41,82 ;50,03 ;83,92 ;1
63,47 ;32,13 ;69,32 ;49,19 ;53,99 ;90,30 ;1
68,56 ;39,74 ;91,71 ;54,57 ;62,30 ;99,26 ;1
75,08 ;47,86 ;88,85 ;64,94 ;63,47 ;90,27 ;1
78,57 ;56,39 ;91,85 ;67,12 ;66,46 ;99,19 ;1
82,94 ;64,79 ;91,28 ;74,29 ;70,01 ;97,73 ;3
73,72 ;72,84 ;91,86 ;69,71 ;68,59 ;89,46 ;3
66,17 ;78,08 ;81,44 ;68,46 ;60,79 ;81,60 ;1
59,45 ;81,14 ;66,47 ;66,52 ;55,82 ;73,55 ;1
63,10 ;81,44 ;60,18 ;72,73 ;58,57 ;80,83 ;1
67,28 ;80,82 ;63,75 ;72,91 ;61,25 ;90,42 ;1
70,45 ;79,39 ;78,79 ;73,71 ;62,00 ;98,85 ;3
70,98 ;79,36 ;88,58 ;73,51 ;58,47 ;97,36 ;3
65,41 ;78,78 ;86,70 ;74,71 ;57,65 ;91,04 ;3
64,48 ;77,26 ;77,57 ;74,88 ;59,37 ;89,96 ;3
60,64 ;74,31 ;65,28 ;68,56 ;59,92 ;85,50 ;3
58,75 ;71,62 ;57,22 ;63,45 ;50,78 ;83,26 ;3
55,07 ;69,30 ;45,66 ;55,03 ;46,07 ;78,80 ;3
52,69 ;65,82 ;28,83 ;48,95 ;39,45 ;75,83 ;1
50,64 ;60,36 ;14,59 ;37,93 ;36,76 ;73,22 ;1
58,06 ;53,73 ;19,09 ;46,57 ;45,94 ;84,19 ;3
54,90 ;47,31 ;30,80 ;52,99 ;47,78 ;80,29 ;3
50,91 ;41,64 ;35,67 ;53,73 ;44,32 ;75,08 ;3
49,26 ;35,69 ;24,02 ;43,64 ;42,22 ;72,85 ;3
41,63 ;29,76 ;11,98 ;34,01 ;36,58 ;61,14 ;1
49,28 ;25,68 ;20,50 ;33,77 ;43,00 ;71,74 ;3
45,66 ;23,25 ;23,76 ;28,78 ;40,74 ;64,61 ;3
39,80 ;22,69 ;23,84 ;27,17 ;29,66 ;50,69 ;1
45,33 ;23,10 ;18,28 ;26,27 ;34,38 ;56,04 ;1
49,03 ;23,93 ;26,52 ;32,35 ;39,61 ;63,08 ;3
49,03 ;25,17 ;41,95 ;38,63 ;40,94 ;62,83 ;3
44,85 ;25,86 ;41,90 ;38,86 ;43,16 ;53,71 ;3
41,53 ;26,45 ;29,35 ;39,10 ;34,74 ;46,14 ;2
39,53 ;26,80 ;15,14 ;40,12 ;34,48 ;41,41 ;1
43,21 ;26,14 ;14,49 ;38,54 ;42,05 ;47,32 ;2
43,75 ;25,84 ;21,13 ;38,20 ;37,17 ;48,17 ;3
43,06 ;26,20 ;27,02 ;39,27 ;37,06 ;46,82 ;3
40,60 ;26,57 ;21,68 ;40,81 ;38,11 ;42,00 ;3
35,63 ;25,03 ;12,62 ;39,77 ;35,05 ;31,05 ;3
29,91 ;20,85 ;4,33 ;29,24 ;30,47 ;15,16 ;1
30,22 ;16,74 ;4,94 ;28,52 ;32,78 ;15,57 ;1
34,93 ;14,99 ;13,59 ;36,93 ;35,54 ;21,76 ;1
39,78 ;16,45 ;28,29 ;36,02 ;37,95 ;28,65 ;3
37,95 ;18,81 ;35,69 ;36,78 ;32,04 ;24,52 ;2
36,54 ;20,47 ;36,05 ;31,70 ;31,18 ;21,30 ;1
41,95 ;21,66 ;37,79 ;36,22 ;38,27 ;22,92 ;3
39,97 ;23,72 ;40,15 ;41,46 ;41,06 ;18,55 ;3
37,60 ;27,20 ;43,95 ;42,87 ;41,38 ;13,13 ;3
31,43 ;29,96 ;29,15 ;35,06 ;31,13 ;1,65 ;1
33,87 ;31,73 ;20,90 ;29,43 ;30,26 ;5,62 ;2
34,19 ;31,71 ;13,41 ;32,69 ;33,92 ;6,04 ;1
33,91 ;30,47 ;17,14 ;37,69 ;35,28 ;5,39 ;1
39,02 ;29,15 ;23,80 ;48,90 ;36,68 ;11,67 ;3
35,92 ;27,72 ;23,17 ;54,19 ;36,73 ;5,15 ;1
39,29 ;26,59 ;27,65 ;61,75 ;39,04 ;9,37 ;3
41,50 ;25,71 ;32,26 ;60,87 ;45,65 ;12,18 ;3
38,23 ;25,12 ;38,57 ;54,01 ;40,56 ;6,04 ;3
36,37 ;25,90 ;36,20 ;44,55 ;40,15 ;4,23 ;3
31,37 ;25,91 ;20,98 ;41,75 ;35,39 ;1,28 ;1
29,55 ;25,96 ;13,83 ;35,00 ;32,98 ;4,15 ;1
39,60 ;26,56 ;22,56 ;33,28 ;45,78 ;14,67 ;1
40,93 ;28,23 ;38,81 ;40,75 ;46,87 ;16,21 ;1
49,39 ;32,88 ;65,03 ;49,96 ;51,89 ;27,08 ;3
49,95 ;38,55 ;78,71 ;58,16 ;55,15 ;27,87 ;3
46,12 ;44,39 ;84,79 ;53,80 ;51,60 ;22,38 ;1
